28056	
	
158	8403
391	8403
2107	8403
2606	8403
3767	8403
5212	8403
7239	8403
7395	8403
8403	
11136	8403
11555	8403
12002	8403
12105	8403
13076	8403
13175	8403
13927	8403
14463	8403
15732	8403
16401	8403
20001	8403
20927	8403
22477	8403
22581	8403
23833	8403
25105	8403
25958	8403
27209	8403
28366	8403
28588	8403
29557	8403
35858	8403
38242	8403
38322	8403
38903	8403
40151	8403
40453	8403
41039	8403
42373	8403
42597	8403
45377	8403
48279	8403
55521	8403
55909	8403
58095	8403
58295	8403
59929	8403
61838	8403
62300	8403
62396	8403
62573	8403
65299	8403
65584	8403
66614	8403
66771	8403
67595	8403
69097	8403
71345	8403
71951	8403
73493	8403
75329	8403
75724	8403
76728	8403
77821	8403
78578	8403
79894	8403
81684	8403
	
41803	
	
11538	
	
1026	
2040	
3752	
5722	
6985	
7832	
8510	
11314	1026
11314	40386
11314	73346
11314	53508
11314	6985
11314	49545
11314	37132
11314	38924
11314	49804
11314	30606
11314	35790
11314	50065
11314	82772
11314	52055
11314	7832
11314	58264
11314	5722
11314	43611
11314	52379
11314	61213
11314	42846
11314	45727
11314	76382
11314	36002
11314	44324
11314	70757
11314	47654
11314	3752
11314	49832
11314	80553
11314	13227
11314	75306
11314	72620
11314	71854
11314	33968
11314	43185
11314	38579
11314	17716
11314	46132
11314	2040
11314	65657
11314	56954
11314	8510
13227	
17716	
30606	
33968	
35790	
36002	
37132	
38579	
38924	
40386	
42846	
43185	
43611	
44324	
45727	
46132	
47654	
49545	
49804	
49832	
50065	
52055	
52379	
53508	
56954	
58264	
61213	
65657	
70757	
71854	
72620	
73346	
75306	
76382	
80553	
82772	
	
6472	
	
16437	
	
61046	
	
25269	
	
21618	
	
158	8403
391	8403
2107	8403
2606	8403
3767	8403
5212	8403
7239	8403
7395	8403
8403	
11136	8403
11555	8403
12002	8403
12105	8403
13076	8403
13175	8403
13927	8403
14463	8403
15732	8403
16401	8403
20001	8403
20927	8403
22477	8403
22581	8403
23833	8403
25105	8403
25958	8403
27209	8403
28366	8403
28588	8403
29557	8403
35858	8403
38242	8403
38322	8403
38903	8403
40151	8403
40453	8403
41039	8403
42373	8403
42597	8403
45377	8403
48279	8403
55521	8403
55909	8403
58095	8403
58295	8403
59929	8403
61838	8403
62300	8403
62396	8403
62573	8403
65299	8403
65584	8403
66614	8403
66771	8403
67595	8403
69097	8403
71345	8403
71951	8403
73493	8403
75329	8403
75724	8403
76728	8403
77821	8403
78578	8403
79894	8403
81684	8403
